Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
STANDARD,instances/scqbf/n25p1.txt,-141.62,244,123,NO_IMPROVEMENT
STANDARD,instances/scqbf/n25p2.txt,-193.29,250,179,NO_IMPROVEMENT
STANDARD,instances/scqbf/n25p3.txt,-166.06,140,117,NO_IMPROVEMENT
STANDARD,instances/scqbf/n50p1.txt,-351.69,442,142,NO_IMPROVEMENT
STANDARD,instances/scqbf/n50p2.txt,-665.84,525,143,NO_IMPROVEMENT
STANDARD,instances/scqbf/n50p3.txt,-675.33,601,160,NO_IMPROVEMENT
STANDARD,instances/scqbf/n100p1.txt,-1642.60,2290,287,NO_IMPROVEMENT
STANDARD,instances/scqbf/n100p2.txt,-1564.19,4497,342,NO_IMPROVEMENT
STANDARD,instances/scqbf/n100p3.txt,-1496.09,3063,219,NO_IMPROVEMENT
STANDARD,instances/scqbf/n200p1.txt,-2153.19,5036,782,NO_IMPROVEMENT
STANDARD,instances/scqbf/n200p2.txt,-4626.51,41523,789,NO_IMPROVEMENT
STANDARD,instances/scqbf/n200p3.txt,-3976.58,61888,831,NO_IMPROVEMENT
STANDARD,instances/scqbf/n400p1.txt,-6714.56,14624,1000,MAX_GENERATIONS
STANDARD,instances/scqbf/n400p2.txt,-12464.83,213020,1000,MAX_GENERATIONS
STANDARD,instances/scqbf/n400p3.txt,-10667.23,149307,491,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n25p1.txt,-141.62,259,126,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n25p2.txt,-184.68,242,110,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n25p3.txt,-166.06,270,113,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n50p1.txt,-351.69,1022,173,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n50p2.txt,-670.46,1506,198,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n50p3.txt,-675.33,1109,141,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n100p1.txt,-1624.98,4277,264,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n100p2.txt,-1573.66,8778,323,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n100p3.txt,-1499.50,8217,281,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n200p1.txt,-2019.19,8017,653,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n200p2.txt,-4628.13,43033,407,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n200p3.txt,-3983.73,82346,560,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n400p1.txt,-5709.07,21098,768,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n400p2.txt,-12222.36,354749,857,NO_IMPROVEMENT
STANDARD_P2,instances/scqbf/n400p3.txt,-11025.64,607967,998,NO_IMPROVEMENT
