Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
STANDARD,n25p1.txt,-130.23,360,217,NO_IMPROVEMENT
STANDARD_P2,n25p1.txt,-130.23,469,227,NO_IMPROVEMENT
STANDARD_M2,n25p1.txt,-130.23,211,410,NO_IMPROVEMENT
FUNC_POP,n25p1.txt,-130.23,104,225,NO_IMPROVEMENT
FUNC_MUT,n25p1.txt,-130.23,141,267,NO_IMPROVEMENT
STANDARD_EVOL1,n25p1.txt,-113.39,205,232,NO_IMPROVEMENT
STANDARD,n25p2.txt,-295.03,220,222,NO_IMPROVEMENT
STANDARD_P2,n25p2.txt,-295.03,426,221,NO_IMPROVEMENT
STANDARD_M2,n25p2.txt,-295.03,215,240,NO_IMPROVEMENT
FUNC_POP,n25p2.txt,-295.03,114,233,NO_IMPROVEMENT
FUNC_MUT,n25p2.txt,-295.03,204,223,NO_IMPROVEMENT
STANDARD_EVOL1,n25p2.txt,-295.03,217,225,NO_IMPROVEMENT
STANDARD,n25p3.txt,-219.29,248,211,NO_IMPROVEMENT
STANDARD_P2,n25p3.txt,-219.29,491,216,NO_IMPROVEMENT
STANDARD_M2,n25p3.txt,-219.29,259,224,NO_IMPROVEMENT
FUNC_POP,n25p3.txt,-219.29,139,231,NO_IMPROVEMENT
FUNC_MUT,n25p3.txt,-219.29,240,213,NO_IMPROVEMENT
STANDARD_EVOL1,n25p3.txt,-219.29,251,218,NO_IMPROVEMENT
STANDARD,n50p1.txt,-695.30,723,267,NO_IMPROVEMENT
STANDARD_P2,n50p1.txt,-695.30,1506,277,NO_IMPROVEMENT
STANDARD_M2,n50p1.txt,-677.19,685,748,NO_IMPROVEMENT
FUNC_POP,n50p1.txt,-690.12,684,237,NO_IMPROVEMENT
FUNC_MUT,n50p1.txt,-695.30,925,404,NO_IMPROVEMENT
STANDARD_EVOL1,n50p1.txt,-695.30,1078,399,NO_IMPROVEMENT
STANDARD,n50p2.txt,-604.28,984,274,NO_IMPROVEMENT
