Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
STANDARD,n25p1.txt,130.23,355,217,NO_IMPROVEMENT
STANDARD_P2,n25p1.txt,130.23,505,227,NO_IMPROVEMENT
STANDARD_M2,n25p1.txt,130.23,196,410,NO_IMPROVEMENT
FUNC_POP,n25p1.txt,130.23,113,225,NO_IMPROVEMENT
FUNC_MUT,n25p1.txt,130.23,135,267,NO_IMPROVEMENT
STANDARD_EVOL1,n25p1.txt,113.39,196,232,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n25p1.txt,130.23,329,347,NO_IMPROVEMENT
STANDARD,n25p2.txt,295.03,210,222,NO_IMPROVEMENT
STANDARD_P2,n25p2.txt,295.03,416,221,NO_IMPROVEMENT
STANDARD_M2,n25p2.txt,295.03,211,240,NO_IMPROVEMENT
FUNC_POP,n25p2.txt,295.03,112,233,NO_IMPROVEMENT
FUNC_MUT,n25p2.txt,295.03,199,223,NO_IMPROVEMENT
STANDARD_EVOL1,n25p2.txt,295.03,220,225,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n25p2.txt,295.03,288,235,NO_IMPROVEMENT
STANDARD,n25p3.txt,219.29,239,211,NO_IMPROVEMENT
STANDARD_P2,n25p3.txt,219.29,484,216,NO_IMPROVEMENT
STANDARD_M2,n25p3.txt,219.29,243,224,NO_IMPROVEMENT
FUNC_POP,n25p3.txt,219.29,129,231,NO_IMPROVEMENT
FUNC_MUT,n25p3.txt,219.29,239,213,NO_IMPROVEMENT
STANDARD_EVOL1,n25p3.txt,219.29,257,218,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n25p3.txt,219.29,269,216,NO_IMPROVEMENT
STANDARD,n50p1.txt,695.30,727,267,NO_IMPROVEMENT
STANDARD_P2,n50p1.txt,695.30,1535,277,NO_IMPROVEMENT
STANDARD_M2,n50p1.txt,677.19,628,748,NO_IMPROVEMENT
FUNC_POP,n50p1.txt,690.12,635,237,NO_IMPROVEMENT
FUNC_MUT,n50p1.txt,695.30,945,404,NO_IMPROVEMENT
STANDARD_EVOL1,n50p1.txt,695.30,1075,399,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n50p1.txt,695.30,1151,787,NO_IMPROVEMENT
STANDARD,n50p2.txt,604.28,981,274,NO_IMPROVEMENT
STANDARD_P2,n50p2.txt,604.28,1633,230,NO_IMPROVEMENT
STANDARD_M2,n50p2.txt,591.67,1638,443,NO_IMPROVEMENT
FUNC_POP,n50p2.txt,604.28,850,244,NO_IMPROVEMENT
FUNC_MUT,n50p2.txt,604.28,1033,294,NO_IMPROVEMENT
STANDARD_EVOL1,n50p2.txt,604.28,857,245,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n50p2.txt,604.28,955,261,NO_IMPROVEMENT
STANDARD,n50p3.txt,519.60,877,259,NO_IMPROVEMENT
STANDARD_P2,n50p3.txt,505.78,1659,241,NO_IMPROVEMENT
STANDARD_M2,n50p3.txt,507.72,3354,938,NO_IMPROVEMENT
FUNC_POP,n50p3.txt,505.78,953,266,NO_IMPROVEMENT
FUNC_MUT,n50p3.txt,505.78,881,253,NO_IMPROVEMENT
STANDARD_EVOL1,n50p3.txt,505.78,1043,296,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n50p3.txt,519.60,991,269,NO_IMPROVEMENT
STANDARD,n100p1.txt,1299.90,5323,730,NO_IMPROVEMENT
STANDARD_P2,n100p1.txt,1299.90,5500,1153,NO_IMPROVEMENT
STANDARD_M2,n100p1.txt,956.58,2083,1072,NO_IMPROVEMENT
FUNC_POP,n100p1.txt,1299.90,14688,1700,NO_IMPROVEMENT
FUNC_MUT,n100p1.txt,1234.24,2913,447,NO_IMPROVEMENT
STANDARD_EVOL1,n100p1.txt,829.02,2073,1090,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n100p1.txt,702.29,984,475,NO_IMPROVEMENT
STANDARD,n100p2.txt,1818.50,4734,364,NO_IMPROVEMENT
STANDARD_P2,n100p2.txt,1813.79,12204,459,NO_IMPROVEMENT
STANDARD_M2,n100p2.txt,1515.79,5980,458,NO_IMPROVEMENT
FUNC_POP,n100p2.txt,1810.75,7630,289,NO_IMPROVEMENT
FUNC_MUT,n100p2.txt,1818.50,3963,304,NO_IMPROVEMENT
STANDARD_EVOL1,n100p2.txt,1813.79,4383,330,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n100p2.txt,1818.50,4062,302,NO_IMPROVEMENT
STANDARD,n100p3.txt,1706.15,4189,311,NO_IMPROVEMENT
STANDARD_P2,n100p3.txt,1689.17,7815,289,NO_IMPROVEMENT
STANDARD_M2,n100p3.txt,1456.57,9354,654,NO_IMPROVEMENT
FUNC_POP,n100p3.txt,1705.28,9552,354,NO_IMPROVEMENT
