Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
Padrão,n25p1,130.23,402,217,Sem Melhoria
Padrão+P2,n25p1,130.23,496,227,Sem Melhoria
Padrão+M2,n25p1,130.23,280,410,Sem Melhoria
FuncPop,n25p1,130.23,125,225,Sem Melhoria
FuncMut,n25p1,130.23,183,267,Sem Melhoria
Padrão+Alt1,n25p1,113.39,235,232,Sem Melhoria
Pop+Mut+Alt1,n25p1,130.23,128,324,Sem Melhoria
Padrão+Alt2,n25p1,130.23,429,217,Sem Melhoria
Pop+Alt2,n25p1,130.23,427,593,Sem Melhoria
Padrão+Alt3,n25p1,130.23,156,351,Sem Melhoria
Pop+Alt3,n25p1,130.23,94,359,Sem Melhoria
Mut+Alt3,n25p1,130.23,180,413,Sem Melhoria
Padrão,n25p2,295.03,290,241,Sem Melhoria
Padrão+P2,n25p2,295.03,515,227,Sem Melhoria
Padrão+M2,n25p2,295.03,319,295,Sem Melhoria
FuncPop,n25p2,295.03,130,226,Sem Melhoria
FuncMut,n25p2,295.03,243,221,Sem Melhoria
Padrão+Alt1,n25p2,295.03,251,216,Sem Melhoria
Pop+Mut+Alt1,n25p2,295.03,123,223,Sem Melhoria
Padrão+Alt2,n25p2,295.03,253,232,Sem Melhoria
Pop+Alt2,n25p2,295.03,121,227,Sem Melhoria
Padrão+Alt3,n25p2,295.03,403,592,Sem Melhoria
Pop+Alt3,n25p2,295.03,145,358,Sem Melhoria
Mut+Alt3,n25p2,295.03,185,320,Sem Melhoria
Padrão,n25p3,219.29,287,216,Sem Melhoria
Padrão+P2,n25p3,219.29,571,213,Sem Melhoria
Padrão+M2,n25p3,219.29,290,224,Sem Melhoria
FuncPop,n25p3,219.29,183,275,Sem Melhoria
FuncMut,n25p3,219.29,288,218,Sem Melhoria
Padrão+Alt1,n25p3,219.29,289,212,Sem Melhoria
Pop+Mut+Alt1,n25p3,219.29,149,219,Sem Melhoria
Padrão+Alt2,n25p3,219.29,269,211,Sem Melhoria
Pop+Alt2,n25p3,219.29,141,224,Sem Melhoria
Padrão+Alt3,n25p3,219.29,541,538,Sem Melhoria
Pop+Alt3,n25p3,219.29,151,251,Sem Melhoria
Mut+Alt3,n25p3,219.29,274,322,Sem Melhoria
Padrão,n50p1,690.12,789,256,Sem Melhoria
Padrão+P2,n50p1,695.3,2104,337,Sem Melhoria
Padrão+M2,n50p1,682.31,1294,1116,Sem Melhoria
FuncPop,n50p1,690.12,781,250,Sem Melhoria
FuncMut,n50p1,690.12,763,303,Sem Melhoria
Padrão+Alt1,n50p1,695.3,958,316,Sem Melhoria
Pop+Mut+Alt1,n50p1,690.12,1131,600,Sem Melhoria
Padrão+Alt2,n50p1,690.12,741,257,Sem Melhoria
Pop+Alt2,n50p1,690.12,711,249,Sem Melhoria
Padrão+Alt3,n50p1,674.83,947,982,Sem Melhoria
Pop+Alt3,n50p1,680.42,531,546,Sem Melhoria
Mut+Alt3,n50p1,675.3,695,710,Sem Melhoria
Padrão,n50p2,604.28,939,239,Sem Melhoria
Padrão+P2,n50p2,604.28,2082,256,Sem Melhoria
Padrão+M2,n50p2,568.3,2599,631,Sem Melhoria
FuncPop,n50p2,604.28,1095,276,Sem Melhoria
FuncMut,n50p2,604.28,1086,275,Sem Melhoria
Padrão+Alt1,n50p2,604.28,947,241,Sem Melhoria
Pop+Mut+Alt1,n50p2,604.28,1422,354,Sem Melhoria
Padrão+Alt2,n50p2,561.96,931,261,Sem Melhoria
Pop+Alt2,n50p2,604.28,841,239,Sem Melhoria
Padrão+Alt3,n50p2,604.28,1550,436,Sem Melhoria
Pop+Alt3,n50p2,604.28,2623,688,Sem Melhoria
Mut+Alt3,n50p2,563.39,1422,398,Sem Melhoria
Padrão,n50p3,505.78,981,251,Sem Melhoria
Padrão+P2,n50p3,519.6,1908,247,Sem Melhoria
Padrão+M2,n50p3,509.17,1973,480,Sem Melhoria
FuncPop,n50p3,510.63,904,235,Sem Melhoria
FuncMut,n50p3,519.6,1116,276,Sem Melhoria
Padrão+Alt1,n50p3,505.78,1073,260,Sem Melhoria
Pop+Mut+Alt1,n50p3,519.6,977,249,Sem Melhoria
Padrão+Alt2,n50p3,519.6,872,243,Sem Melhoria
Pop+Alt2,n50p3,505.78,973,264,Sem Melhoria
Padrão+Alt3,n50p3,498.67,1843,506,Sem Melhoria
Pop+Alt3,n50p3,519.6,1847,516,Sem Melhoria
Mut+Alt3,n50p3,486.39,2766,805,Sem Melhoria
Padrão,n100p1,1299.9,6543,775,Sem Melhoria
Padrão+P2,n100p1,1097.68,5771,1157,Sem Melhoria
Padrão+M2,n100p1,894.38,2625,1006,Sem Melhoria
FuncPop,n100p1,1230.48,11611,727,Sem Melhoria
FuncMut,n100p1,1299.9,4201,511,Sem Melhoria
Padrão+Alt1,n100p1,864.6,3954,1486,Sem Melhoria
Pop+Mut+Alt1,n100p1,458.86,3927,742,Sem Melhoria
Padrão+Alt2,n100p1,1243.59,5193,693,Sem Melhoria
Pop+Alt2,n100p1,1291.9,8703,692,Sem Melhoria
Padrão+Alt3,n100p1,804.18,1876,843,Sem Melhoria
Pop+Alt3,n100p1,1086.5,5641,1230,Sem Melhoria
Mut+Alt3,n100p1,1117.73,3364,1506,Sem Melhoria
Padrão,n100p2,1818.5,6882,464,Sem Melhoria
Padrão+P2,n100p2,1810.75,15855,521,Sem Melhoria
Padrão+M2,n100p2,1687.64,17827,1196,Sem Melhoria
FuncPop,n100p2,1818.5,9942,334,Sem Melhoria
FuncMut,n100p2,1818.5,7691,516,Sem Melhoria
Padrão+Alt1,n100p2,1813.79,7013,451,Sem Melhoria
Pop+Mut+Alt1,n100p2,1818.5,9412,312,Sem Melhoria
Padrão+Alt2,n100p2,1818.5,5027,370,Sem Melhoria
Pop+Alt2,n100p2,1813.79,8877,320,Sem Melhoria
Padrão+Alt3,n100p2,1805.98,6159,423,Sem Melhoria
Pop+Alt3,n100p2,1818.5,12238,435,Sem Melhoria
Mut+Alt3,n100p2,1818.5,11050,802,Sem Melhoria
Padrão,n100p3,1705.28,6776,431,Sem Melhoria
Padrão+P2,n100p3,1697.05,11439,350,Sem Melhoria
Padrão+M2,n100p3,1424.52,10185,605,Sem Melhoria
FuncPop,n100p3,1697.05,12803,402,Sem Melhoria
FuncMut,n100p3,1706.09,7966,509,Sem Melhoria
Padrão+Alt1,n100p3,1706.15,4580,284,Sem Melhoria
Pop+Mut+Alt1,n100p3,1707.06,12137,392,Sem Melhoria
Padrão+Alt2,n100p3,1707.06,7010,465,Sem Melhoria
Pop+Alt2,n100p3,1707.06,9798,334,Sem Melhoria
Padrão+Alt3,n100p3,1701.9,6044,414,Sem Melhoria
Pop+Alt3,n100p3,1677.94,13077,441,Sem Melhoria
Mut+Alt3,n100p3,1706.09,7659,526,Sem Melhoria
Padrão,n200p1,4225.22,9207,1440,Sem Melhoria
Padrão+P2,n200p1,4120.03,19260,1588,Sem Melhoria
Padrão+M2,n200p1,2287.43,4098,639,Sem Melhoria
FuncPop,n200p1,3926.97,36525,1576,Sem Melhoria
FuncMut,n200p1,4935.83,15286,550,Sem Melhoria
Padrão+Alt1,n200p1,1841.4,3573,533,Sem Melhoria
Pop+Mut+Alt1,n200p1,1551.36,4979,201,Sem Melhoria
Padrão+Alt2,n200p1,4484.52,10624,1718,Sem Melhoria
Pop+Alt2,n200p1,4031.68,33991,1494,Sem Melhoria
Padrão+Alt3,n200p1,2889.29,4741,770,Sem Melhoria
Pop+Alt3,n200p1,2796.85,21622,971,Sem Melhoria
