Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n010_sd02_0,PP2,1,null,0.0,80,0
instance_n010_sd02_0,PP2,1,null,0.0,115,1000
instance_n010_sd02_0,PP1,1,null,0.0,81,0
instance_n010_sd02_0,PP1,1,null,0.0,162,1000
instance_n100_sd02_0,PP2,1,null,0.0,95,0
instance_n100_sd02_0,PP2,1,null,0.0,390,1000
instance_n100_sd02_2,PP1,1,null,0.0,28,0
instance_n100_sd02_2,PP1,1,null,0.0,317,1000
instance_n100_sd02_0,PP1,1,null,0.0,106,0
instance_n100_sd02_0,PP1,1,null,0.0,406,1000
instance_n100_sd02_1,PP1,1,null,0.0,106,0
instance_n100_sd02_1,PP1,1,null,0.0,435,1000
instance_n100_sd02_2,PP2,1,null,0.0,19,0
instance_n100_sd02_2,PP2,1,null,0.0,313,1000
instance_n100_sd02_1,PP2,1,null,0.0,113,0
instance_n100_sd02_1,PP2,1,null,0.0,538,1000
instance_n100_sd02_4,PP1,1,null,0.0,15,0
instance_n100_sd02_4,PP1,1,null,0.0,170,1000
instance_n100_sd02_4,PP2,1,null,0.0,15,0
instance_n100_sd02_4,PP2,1,null,0.0,175,1000
instance_n100_sd02_3,PP1,1,null,0.0,20,0
instance_n100_sd02_3,PP1,1,null,0.0,322,1000
instance_n100_sd04_0,PP1,1,null,0.0,20,0
instance_n100_sd04_0,PP1,1,null,0.0,362,1000
instance_n100_sd04_1,PP1,1,null,0.0,30,0
instance_n100_sd04_1,PP1,1,null,0.0,275,1000
instance_n100_sd02_3,PP2,1,null,0.0,16,0
instance_n100_sd02_3,PP2,1,null,0.0,507,1000
instance_n100_sd04_2,PP1,1,null,0.0,19,0
instance_n100_sd04_2,PP1,1,null,0.0,247,1000
instance_n100_sd04_1,PP2,1,null,0.0,31,0
instance_n100_sd04_1,PP2,1,null,0.0,517,1000
instance_n100_sd04_2,PP2,1,null,0.0,17,0
instance_n100_sd04_2,PP2,1,null,0.0,323,1000
instance_n100_sd04_0,PP2,1,null,0.0,34,0
instance_n100_sd04_0,PP2,1,null,0.0,619,1000
instance_n100_sd04_3,PP1,1,null,0.0,17,0
instance_n100_sd04_3,PP1,1,null,0.0,311,1000
instance_n100_sd04_4,PP1,1,null,0.0,16,0
instance_n100_sd04_4,PP1,1,null,0.0,254,1000
instance_n100_sd04_3,PP2,1,null,0.0,30,0
instance_n100_sd04_3,PP2,1,null,0.0,490,1000
instance_n100_sd06_0,PP1,1,null,0.0,23,0
instance_n100_sd06_0,PP1,1,null,0.0,385,1000
instance_n100_sd04_4,PP2,1,null,0.0,29,0
instance_n100_sd04_4,PP2,1,null,0.0,433,1000
instance_n100_sd06_1,PP2,1,null,0.0,28,0
instance_n100_sd06_1,PP2,1,null,0.0,403,1000
instance_n100_sd06_0,PP2,1,null,0.0,33,0
instance_n100_sd06_0,PP2,1,null,0.0,469,1000
instance_n100_sd06_1,PP1,1,null,0.0,58,0
instance_n100_sd06_1,PP1,1,null,0.0,509,1000
instance_n100_sd06_2,PP1,1,null,0.0,23,0
instance_n100_sd06_2,PP1,1,null,0.0,433,1000
instance_n100_sd06_2,PP2,1,null,0.0,30,0
instance_n100_sd06_2,PP2,1,null,0.0,420,1000
instance_n100_sd06_3,PP1,1,null,0.0,24,0
instance_n100_sd06_3,PP1,1,null,0.0,438,1000
instance_n100_sd06_3,PP2,1,null,0.0,25,0
instance_n100_sd06_3,PP2,1,null,0.0,400,1000
instance_n100_sd06_4,PP1,1,null,0.0,22,0
instance_n100_sd06_4,PP1,1,null,0.0,419,1000
instance_n100_sd06_4,PP2,1,null,0.0,21,0
instance_n100_sd06_4,PP2,1,null,0.0,396,1000
instance_n100_sd08_0,PP1,1,null,0.0,40,0
instance_n100_sd08_0,PP1,1,null,0.0,511,1000
instance_n100_sd08_0,PP2,1,null,0.0,32,0
instance_n100_sd08_0,PP2,1,null,0.0,479,1000
instance_n100_sd08_1,PP2,1,null,0.0,38,0
instance_n100_sd08_1,PP2,1,null,0.0,527,1000
instance_n100_sd08_2,PP1,1,null,0.0,39,0
instance_n100_sd08_2,PP1,1,null,0.0,496,1000
instance_n100_sd08_2,PP2,1,null,0.0,40,0
instance_n100_sd08_2,PP2,1,null,0.0,497,1000
instance_n100_sd08_1,PP1,1,null,0.0,73,0
instance_n100_sd08_1,PP1,1,null,0.0,634,1000
instance_n100_sd08_3,PP1,1,null,0.0,29,0
instance_n100_sd08_3,PP1,1,null,0.0,529,1000
instance_n100_sd08_3,PP2,1,null,0.0,41,0
instance_n100_sd08_3,PP2,1,null,0.0,583,1000
instance_n100_sd08_4,PP1,1,null,0.0,34,0
instance_n100_sd08_4,PP1,1,null,0.0,471,1000
