Configuration,InstanceSize,Wins,Total,Losses,MeanTimeMS,MeanIteratios
PP1,instance_n010,1,1,0,340.0,0.0
PP2,instance_n010,1,1,0,346.0,0.0
PP3,instance_n010,1,1,0,341.0,0.0
PP4,instance_n010,1,1,0,341.0,0.0
PP1,instance_n100,25,25,0,2266.96,14819.84
PP2,instance_n100,25,25,0,2233.44,14819.84
PP3,instance_n100,25,25,0,2246.4,14819.84
PP4,instance_n100,25,25,0,2230.44,14819.84
PP1,instance_n200,25,25,0,1884.96,4411.28
PP2,instance_n200,25,25,0,1907.84,4411.28
PP3,instance_n200,25,25,0,1931.64,4411.28
PP4,instance_n200,25,25,0,1904.32,4411.28
PP1,instance_n300,25,25,0,4003.2,5207.88
PP2,instance_n300,25,25,0,4033.4,5207.88
PP3,instance_n300,25,25,0,4006.12,5207.88
PP4,instance_n300,25,25,0,4090.8,5207.88
PP1,instance_n400,25,25,0,13715.88,6804.84
PP2,instance_n400,25,25,0,13786.12,6804.84
PP3,instance_n400,25,25,0,13972.8,6804.84
PP4,instance_n400,25,25,0,13351.88,6804.84
PP1,instance_n500,25,25,0,18310.76,7200.96
PP2,instance_n500,25,25,0,18375.92,7200.96
PP3,instance_n500,25,25,0,18322.4,7200.96
PP4,instance_n500,25,25,0,18458.0,7200.96
PP1,instance_n8,1,1,0,0.0,0.0
PP2,instance_n8,1,1,0,0.0,0.0
PP3,instance_n8,1,1,0,0.0,0.0
PP4,instance_n8,1,1,0,0.0,0.0
