Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n300_sd10_0,TTT1,313,110,110,1278,0
instance_n300_sd10_0,TTT1,254,110,110,1128,0
instance_n300_sd10_0,TTT1,904,110,110,1329,0
instance_n300_sd10_0,TTT1,569,110,110,285,0
instance_n300_sd10_0,TTT1,434,110,108,976,0
instance_n300_sd10_0,TTT1,434,110,109,21971,20000
instance_n300_sd10_0,TTT1,434,110,110,22742,10288
instance_n300_sd10_0,TTT1,978,110,107,284,0
instance_n300_sd10_0,TTT1,978,110,108,1057,258
instance_n300_sd10_0,TTT1,978,110,109,1075,259
instance_n300_sd10_0,TTT1,978,110,110,21210,20000
instance_n300_sd10_0,TTT1,985,110,107,1382,0
instance_n300_sd10_0,TTT1,985,110,108,2335,222
instance_n300_sd10_0,TTT1,985,110,110,23161,20000
instance_n300_sd10_0,TTT1,847,110,107,1425,0
instance_n300_sd10_0,TTT1,847,110,108,2111,204
instance_n300_sd10_0,TTT1,847,110,109,2583,405
instance_n300_sd10_0,TTT1,847,110,110,23250,20000
instance_n300_sd10_0,TTT1,473,110,107,183,0
instance_n300_sd10_0,TTT1,473,110,108,928,258
instance_n300_sd10_0,TTT1,473,110,109,934,259
instance_n300_sd10_0,TTT1,473,110,110,20997,20000
instance_n300_sd10_0,TTT1,588,110,107,1327,0
instance_n300_sd10_0,TTT1,588,110,110,23375,20000
instance_n300_sd10_0,TTT1,606,110,108,1177,0
instance_n300_sd10_0,TTT1,606,110,109,2958,566
instance_n300_sd10_0,TTT1,606,110,110,23244,20000
instance_n300_sd10_0,TTT1,234,110,110,201,0
instance_n300_sd10_0,TTT1,748,110,106,230,0
instance_n300_sd10_0,TTT1,748,110,107,887,266
instance_n300_sd10_0,TTT1,748,110,108,899,267
instance_n300_sd10_0,TTT1,748,110,110,21935,20000
instance_n300_sd10_0,TTT1,262,110,110,283,0
instance_n300_sd10_0,TTT1,332,110,110,191,0
instance_n300_sd10_0,TTT1,263,110,109,295,0
instance_n300_sd10_0,TTT1,263,110,110,907,258
instance_n300_sd10_0,TTT1,592,110,109,320,0
instance_n300_sd10_0,TTT1,592,110,110,992,278
instance_n300_sd10_0,TTT1,99,110,110,179,0
instance_n300_sd10_0,TTT1,562,110,109,250,0
instance_n300_sd10_0,TTT1,562,110,110,1299,512
instance_n300_sd10_0,TTT1,959,110,110,167,0
instance_n300_sd10_0,TTT1,674,110,112,202,0
instance_n300_sd10_0,TTT1,376,110,108,185,0
instance_n300_sd10_0,TTT1,376,110,109,1051,430
instance_n300_sd10_0,TTT1,376,110,110,1053,431
instance_n300_sd10_0,TTT1,298,110,110,167,0
instance_n300_sd10_0,TTT1,302,110,110,171,0
instance_n300_sd10_0,TTT1,153,110,109,172,0
instance_n300_sd10_0,TTT1,153,110,110,1657,600
instance_n300_sd10_0,TTT1,317,110,107,188,0
instance_n300_sd10_0,TTT1,317,110,108,904,266
instance_n300_sd10_0,TTT1,317,110,109,907,267
instance_n300_sd10_0,TTT1,317,110,110,19523,20000
instance_n300_sd10_0,TTT1,596,110,106,278,0
instance_n300_sd10_0,TTT1,596,110,107,736,206
instance_n300_sd10_0,TTT1,596,110,108,1313,509
instance_n300_sd10_0,TTT1,596,110,110,19430,20000
instance_n300_sd10_0,TTT1,189,110,107,167,0
instance_n300_sd10_0,TTT1,189,110,108,674,282
instance_n300_sd10_0,TTT1,189,110,109,1383,629
instance_n300_sd10_0,TTT1,189,110,110,19297,20000
instance_n300_sd10_0,TTT1,955,110,111,163,0
instance_n300_sd10_0,TTT1,363,110,109,173,0
instance_n300_sd10_0,TTT1,363,110,110,760,278
instance_n300_sd10_0,TTT1,310,110,106,180,0
instance_n300_sd10_0,TTT1,310,110,107,1157,512
instance_n300_sd10_0,TTT1,310,110,108,1160,513
instance_n300_sd10_0,TTT1,310,110,110,19587,20000
instance_n300_sd10_0,TTT1,820,110,110,176,0
instance_n300_sd10_0,TTT1,834,110,110,160,0
instance_n300_sd10_0,TTT1,854,110,109,247,0
instance_n300_sd10_0,TTT1,854,110,111,19248,20000
instance_n300_sd10_0,TTT1,437,110,106,181,0
instance_n300_sd10_0,TTT1,437,110,107,6923,2858
instance_n300_sd10_0,TTT1,437,110,108,6926,2859
instance_n300_sd10_0,TTT1,437,110,110,19664,20000
instance_n300_sd10_0,TTT1,477,110,110,170,0
instance_n300_sd10_0,TTT1,737,110,108,229,0
instance_n300_sd10_0,TTT1,737,110,109,725,258
instance_n300_sd10_0,TTT1,737,110,110,728,259
instance_n300_sd10_0,TTT1,477,110,110,207,0
instance_n300_sd10_0,TTT1,800,110,105,164,0
instance_n300_sd10_0,TTT1,800,110,106,1235,512
instance_n300_sd10_0,TTT1,800,110,107,1238,513
instance_n300_sd10_0,TTT1,800,110,110,19662,20000
instance_n300_sd10_0,TTT1,205,110,108,177,0
instance_n300_sd10_0,TTT1,205,110,109,1148,306
instance_n300_sd10_0,TTT1,205,110,110,21547,20000
instance_n300_sd10_0,TTT1,592,110,109,184,0
instance_n300_sd10_0,TTT1,592,110,110,757,278
instance_n300_sd10_0,TTT1,888,110,108,180,0
instance_n300_sd10_0,TTT1,888,110,109,675,258
instance_n300_sd10_0,TTT1,888,110,110,678,259
instance_n300_sd10_0,TTT1,357,110,110,175,0
instance_n300_sd10_0,TTT1,500,110,108,169,0
instance_n300_sd10_0,TTT1,500,110,109,708,276
instance_n300_sd10_0,TTT1,500,110,110,711,277
instance_n300_sd10_0,TTT2,333,110,108,166,0
instance_n300_sd10_0,TTT2,333,110,109,720,258
instance_n300_sd10_0,TTT2,333,110,110,723,259
instance_n300_sd10_0,TTT1,6,110,108,174,0
instance_n300_sd10_0,TTT1,6,110,110,19178,20000
instance_n300_sd10_0,TTT1,689,110,106,163,0
instance_n300_sd10_0,TTT1,689,110,107,497,176
instance_n300_sd10_0,TTT1,689,110,108,500,177
instance_n300_sd10_0,TTT1,689,110,110,18796,20000
instance_n300_sd10_0,TTT2,536,110,110,164,0
instance_n300_sd10_0,TTT2,345,110,110,157,0
instance_n300_sd10_0,TTT2,55,110,108,166,0
instance_n300_sd10_0,TTT2,55,110,109,1393,568
instance_n300_sd10_0,TTT2,55,110,110,1396,569
instance_n300_sd10_0,TTT1,75,110,107,183,0
instance_n300_sd10_0,TTT1,75,110,108,1078,416
instance_n300_sd10_0,TTT1,75,110,109,1081,417
instance_n300_sd10_0,TTT1,75,110,110,19719,20000
instance_n300_sd10_0,TTT1,660,110,109,167,0
instance_n300_sd10_0,TTT1,660,110,110,19250,20000
instance_n300_sd10_0,TTT1,415,110,107,163,0
instance_n300_sd10_0,TTT1,415,110,108,747,258
instance_n300_sd10_0,TTT1,415,110,109,751,259
instance_n300_sd10_0,TTT1,415,110,110,19702,20000
instance_n300_sd10_0,TTT2,229,110,109,199,0
instance_n300_sd10_0,TTT2,229,110,110,708,258
instance_n300_sd10_0,TTT2,884,110,109,162,0
instance_n300_sd10_0,TTT2,884,110,110,713,262
instance_n300_sd10_0,TTT2,600,110,109,185,0
instance_n300_sd10_0,TTT2,600,110,110,702,278
instance_n300_sd10_0,TTT2,486,110,110,163,0
instance_n300_sd10_0,TTT2,683,110,110,243,0
instance_n300_sd10_0,TTT2,996,110,110,163,0
instance_n300_sd10_0,TTT1,220,110,107,163,0
instance_n300_sd10_0,TTT1,220,110,110,19221,20000
instance_n300_sd10_0,TTT2,452,110,105,179,0
instance_n300_sd10_0,TTT2,452,110,106,777,258
instance_n300_sd10_0,TTT2,452,110,107,780,259
instance_n300_sd10_0,TTT2,452,110,110,19428,20000
instance_n300_sd10_0,TTT2,676,110,105,166,0
instance_n300_sd10_0,TTT2,676,110,106,1136,540
instance_n300_sd10_0,TTT2,676,110,107,1139,541
instance_n300_sd10_0,TTT2,676,110,110,19232,20000
instance_n300_sd10_0,TTT2,358,110,107,166,0
instance_n300_sd10_0,TTT2,358,110,108,661,258
instance_n300_sd10_0,TTT2,358,110,109,664,259
instance_n300_sd10_0,TTT2,358,110,110,19092,20000
instance_n300_sd10_0,TTT2,504,110,106,184,0
instance_n300_sd10_0,TTT2,504,110,107,1047,430
instance_n300_sd10_0,TTT2,504,110,108,1050,431
instance_n300_sd10_0,TTT2,504,110,110,18998,20000
instance_n300_sd10_0,TTT2,859,110,109,161,0
instance_n300_sd10_0,TTT2,859,110,110,1249,568
instance_n300_sd10_0,TTT2,151,110,105,161,0
instance_n300_sd10_0,TTT2,151,110,106,835,344
instance_n300_sd10_0,TTT2,151,110,107,837,345
instance_n300_sd10_0,TTT2,151,110,110,19439,20000
instance_n300_sd10_0,TTT2,598,110,105,244,0
instance_n300_sd10_0,TTT2,598,110,106,1354,568
instance_n300_sd10_0,TTT2,598,110,107,1357,569
instance_n300_sd10_0,TTT2,598,110,110,19098,20000
instance_n300_sd10_0,TTT2,514,110,105,161,0
instance_n300_sd10_0,TTT2,514,110,106,636,258
instance_n300_sd10_0,TTT2,514,110,107,639,259
instance_n300_sd10_0,TTT2,514,110,110,18565,20000
instance_n300_sd10_0,TTT2,908,110,106,157,0
instance_n300_sd10_0,TTT2,908,110,107,931,364
instance_n300_sd10_0,TTT2,908,110,108,934,365
instance_n300_sd10_0,TTT2,908,110,109,936,366
instance_n300_sd10_0,TTT2,908,110,110,20626,20000
instance_n300_sd10_0,TTT2,528,110,107,171,0
instance_n300_sd10_0,TTT2,528,110,108,599,178
instance_n300_sd10_0,TTT2,528,110,109,748,267
instance_n300_sd10_0,TTT2,528,110,110,18651,20000
instance_n300_sd10_0,TTT2,865,110,107,164,0
instance_n300_sd10_0,TTT2,865,110,108,527,180
instance_n300_sd10_0,TTT2,865,110,109,530,181
instance_n300_sd10_0,TTT2,865,110,110,19467,20000
instance_n300_sd10_0,TTT2,731,110,110,176,0
instance_n300_sd10_0,TTT2,192,110,108,179,0
instance_n300_sd10_0,TTT2,192,110,109,716,258
instance_n300_sd10_0,TTT2,192,110,110,719,259
